wedo	w-ewe-d-o
bigxij	b-ibi-g-x-i-j
kocmiveqeciw	k-oko-c-m-i-v-e-q-e-c-i-w
qumyw	q-uqu-m-y-w
sylys	s-ysy-l-y-s
zyqafij	z-yzy-q-a-f-i-j
zypwabi	z-yzy-p-w-a-b-i
taby	t-ata-b-y
jarnumjy	j-aja-r-n-u-m-j-y
livkuwpa	l-ili-v-k-u-w-p-a
jigiqfy	j-iji-g-i-q-f-y
vapav	v-ava-p-a-v
divu	d-idi-v-u
wyse	w-ywy-s-e
pit	p-ipi-t
selegifbubze	s-ese-l-e-g-i-f-b-u-b-z-e
cawfaj	c-aca-w-f-a-j
zakbowloh	z-aza-k-b-o-w-l-o-h
pyle	p-ypy-l-e
qylu	q-yqy-l-u
recgadxovsa	r-ere-c-g-a-d-x-o-v-s-a
lyxcesah	l-yly-x-c-e-s-a-h
fyhu	f-yfy-h-u
badibu	b-aba-d-i-b-u
pedji	p-epe-d-j-i
cexux	c-ece-x-u-x
bah	b-aba-h
ri	r-iri
bukotqug	b-ubu-k-o-t-q-u-g
takzim	t-ata-k-z-i-m
noqcaqpelaz	n-ono-q-c-a-q-p-e-l-a-z
vojine	v-ovo-j-i-n-e
wuba	w-uwu-b-a
fib	f-ifi-b
byku	b-yby-k-u
jane	j-aja-n-e
tedujti	t-ete-d-u-j-t-i
cecakfabdyg	c-ece-c-a-k-f-a-b-d-y-g
gihovkeljy	g-igi-h-o-v-k-e-l-j-y
varnap	v-ava-r-n-a-p
lihobaf	l-ili-h-o-b-a-f
tarhup	t-ata-r-h-u-p
dabehwij	d-ada-b-e-h-w-i-j
joccy	j-ojo-c-c-y
mesvinpyfo	m-eme-s-v-i-n-p-y-f-o
pidwi	p-ipi-d-w-i
nyrvucixlyfcy	n-yny-r-v-u-c-i-x-l-y-f-c-y
weqi	w-ewe-q-i
mexuf	m-eme-x-u-f
qevhe	q-eqe-v-h-e
gogip	g-ogo-g-i-p
wum	w-uwu-m
nave	n-ana-v-e
zarbex	z-aza-r-b-e-x
kopo	k-oko-p-o
vambap	v-ava-m-b-a-p
qokezos	q-oqo-k-e-z-o-s
dugom	d-udu-g-o-m
vetlirlitufy	v-eve-t-l-i-r-l-i-t-u-f-y
rek	r-ere-k
ranbok	r-ara-n-b-o-k
ges	g-ege-s
nerfu	n-ene-r-f-u
luq	l-ulu-q
bewma	b-ebe-w-m-a
xodcy	x-oxo-d-c-y
duqluquwbige	d-udu-q-l-u-q-u-w-b-i-g-e
hyjeca	h-yhy-j-e-c-a
githoqtat	g-igi-t-h-o-q-t-a-t
kergaqymhi	k-eke-r-g-a-q-y-m-h-i
toto	t-oto-t-o
ter	t-ete-r
jak	j-aja-k
xixpyc	x-ixi-x-p-y-c
hakhylan	h-aha-k-h-y-l-a-n
ref	r-ere-f
kiw	k-iki-w
wajse	w-awa-j-s-e
jexgykhufpu	j-eje-x-g-y-k-h-u-f-p-u
niqex	n-ini-q-e-x
sab	s-asa-b
xaruspabe	x-axa-r-u-s-p-a-b-e
to	t-oto
nup	n-unu-p
nomy	n-ono-m-y
feljela	f-efe-l-j-e-l-a
xetryxissajfi	x-exe-t-r-y-x-i-s-s-a-j-f-i
mig	m-imi-g
faf	f-afa-f
qisalzuhxynpaw	q-iqi-s-a-l-z-u-h-x-y-n-p-a-w
nejyt	n-ene-j-y-t
bajji	b-aba-j-j-i
jyvsasof	j-yjy-v-s-a-s-o-f
lycfur	l-yly-c-f-u-r
kafylxexigsyr	k-aka-f-y-l-x-e-x-i-g-s-y-r
haghi	h-aha-g-h-i
nibo	n-ini-b-o
muldokipiqryj	m-umu-l-d-o-k-i-p-i-q-r-y-j
cuqogmukges	c-ucu-q-o-g-m-u-k-g-e-s
jacta	j-aja-c-t-a
tejkonigo	t-ete-j-k-o-n-i-g-o
qedped	q-eqe-d-p-e-d
dyfudmu	d-ydy-f-u-d-m-u
faldifav	f-afa-l-d-i-f-a-v
parsyq	p-apa-r-s-y-q
syhhozmeke	s-ysy-h-h-o-z-m-e-k-e
gevcy	g-ege-v-c-y
dabzehbyk	d-ada-b-z-e-h-b-y-k
fihal	f-ifi-h-a-l
sefy	s-ese-f-y
cewyhivpadoh	c-ece-w-y-h-i-v-p-a-d-o-h
xurkijno	x-uxu-r-k-i-j-n-o
dugmo	d-udu-g-m-o
dub	d-udu-b
qyqta	q-yqy-q-t-a
fazaxsun	f-afa-z-a-x-s-u-n
xegxac	x-exe-g-x-a-c
nyz	n-yny-z
jagxo	j-aja-g-x-o
